Word,PartsOfSpeech,Meaning
Royne,v. t.,To bite; to gnaw.
Rubin,n.,A ruby.
Ruble,n.,"The unit of monetary value in Russia.  It is divided into 100 copecks, and in the gold coin of the realm (as in the five and ten ruble pieces) is worth about 77 cents. The silver ruble is a coin worth about 60 cents."
Rubus,n.,"A genus of rosaceous plants, including the raspberry and blackberry."
Ruche,n.,"A plaited, quilled, or goffered strip of lace, net, ribbon, or other material, -- used in place of collars or cuffs, and as a trimming for women's dresses and bonnets."
Ruddy,n.,"Of a red color; red, or reddish; as, a ruddy sky; a ruddy flame."
Ruing,p. pr. & vb. n.,of Rue
Ruffe,n.,"A small freshwater European perch (Acerina vulgaris); -- called also pope, blacktail, and stone, / striped, perch."
Rufol,n.,"A phenol derivative of anthracene obtained as a white crystalline substance, which on oxidation produces a red dyestuff related to anthraquinone."
Rugae,pl. ,of Ruga
Ruggy,a.,Rugged; rough.
Rugin,n.,A nappy cloth.
Ruled,imp. & p. p.,of Rule
Ruler,n.,One who rules; one who exercises sway or authority; a governor.
Rumbo,n.,Grog.
Rumen,n.,The first stomach of ruminants; the paunch; the fardingbag. See Illust. below. 
Rummy,a.,Of or pertaining to rum; characteristic of rum; as a rummy flavor.
Rumor,n.,"A flying or popular report; the common talk; hence, public fame; notoriety."
Runch,n.,The wild radish.
Runer,n.,"A bard, or learned man, among the ancient Goths."
Runic,a.,"Of or pertaining to a rune, to runes, or to the Norsemen; as, runic verses; runic letters; runic names; runic rhyme."
Runty,a.,Like a runt; diminutive; mean.
Rupee,n.,"A silver coin, and money of account, in the East Indies."
Rupia,n.,"An eruption upon the skin, consisting of vesicles with inflamed base and filled with serous, purulent, or bloody fluid, which dries up, forming a blackish crust."
Rural,a.,"Of or pertaining to the country, as distinguished from a city or town; living in the country; suitable for, or resembling, the country; rustic; as, rural scenes; a rural prospect."
Rushy,a.,Abounding with rushes.
Rusma,n.,"A depilatory made of orpiment and quicklime, and used by the Turks. See Rhusma."
Rusty,superl.,"Covered or affected with rust; as, a rusty knife or sword; rusty wheat."
Rutic,a.,"Pertaining to, or obtained from, rue (Ruta); as, rutic acid, now commonly called capric acid."
Rutin,n.,"A glucoside resembling, but distinct from, quercitrin. Rutin is found in the leaves of the rue (Ruta graveolens) and other plants, and obtained as a bitter yellow crystalline substance which yields quercitin on decomposition."
Rutty,a.,Ruttish; lustful.
Ryder,n.,A clause added to a document; a rider. See Rider.
Saadh,n.,See Sadh.
Sabal,n.,A genus of palm trees including the palmetto of the Southern United States.
Saber,n.,Alt. of Sabre
Sabre,n.,"A sword with a broad and heavy blade, thick at the back, and usually more or less curved like a scimiter; a cavalry sword."
Sable,n.,"A carnivorous animal of the Weasel family (Mustela zibellina) native of the northern latitudes of Europe, Asia, and America, -- noted for its fine, soft, and valuable fur."
Sabot,n.,"A kind of wooden shoe worn by the peasantry in France, Belgium, Sweden, and some other European countries."
Sacar,n.,See Saker.
Sacci,pl. ,of Saccus
Sacre,n.,See Saker.
sacra,pl. ,of Sacrum
Sadda,n.,"A work in the Persian tongue, being a summary of the Zend-Avesta, or sacred books."
Sadly,adv.,Wearily; heavily; firmly.
Sagas,pl. ,of Saga
Sagum,n.,The military cloak of the Roman soldiers.
Sagus,n.,A genus of palms from which sago is obtained.
Sahib,n.,Alt. of Saheb
Saheb,n.,A respectful title or appellation given to Europeans of rank.
Sahui,n.,A marmoset.
Saiga,n.,"An antelope (Saiga Tartarica) native of the plains of Siberia and Eastern Russia. The male has erect annulated horns, and tufts of long hair beneath the eyes and ears."
Saily,a.,Like a sail.
Saint,n.,"A person sanctified; a holy or godly person; one eminent for piety and virtue; any true Christian, as being redeemed and consecrated to God."
Saith,,3d pers. sing. pres. of Say.
Saiva,n.,One of an important religious sect in India which regards Siva with peculiar veneration.
Sajou,n.,Same as Sapajou.
Saker,n.,"A falcon (Falco sacer) native of Southern Europe and Asia, closely resembling the lanner."
Sakti,n.,"The divine energy, personified as the wife of a deity (Brahma, Vishnu, Siva, etc.); the female principle."
Salad,n.,"A preparation of vegetables, as lettuce, celery, water cress, onions, etc., usually dressed with salt, vinegar, oil, and spice, and eaten for giving a relish to other food; as, lettuce salad; tomato salad, etc."
Salam,n.,"A salutation or compliment of ceremony in the east by word or act; an obeisance, performed by bowing very low and placing the right palm on the forehead."
Saleb,n.,See Salep.
Salep,n.,"The dried tubers of various species of Orchis, and Eulophia. It is used to make a nutritious beverage by treating the powdered preparation with hot water."
Salic,a.,"Of or pertaining to the Salian Franks, or to the Salic law so called."
Salix,n.,"A genus of trees or shrubs including the willow, osier, and the like, growing usually in wet grounds."
Sally,v. i.,To leap or rush out; to burst forth; to issue suddenly; as a body of troops from a fortified place to attack besiegers; to make a sally.
Salmi,n.,Same as Salmis.
Salol,n.,A white crystalline substance consisting of phenol salicylate.
Salon,n.,"An apartment for the reception of company; hence, in the plural, fashionable parties; circles of fashionable society."
Salpa,n.,"A genus of transparent, tubular, free-swimming oceanic tunicates found abundantly in all the warmer latitudes. See Illustration in Appendix."
Salse,n.,"A mud volcano, the water of which is often impregnated with salts, whence the name."
Salty,a.,Somewhat salt; saltish.
Salue,v. t.,To salute.
Salve,interj.,Hail!
Salvo,n.,An exception; a reservation; an excuse.
Sambo,n.,"A colloquial or humorous appellation for a negro; sometimes, the offspring of a black person and a mulatto; a zambo."
Sandy,superl.,"Consisting of, abounding with, or resembling, sand; full of sand; covered or sprinkled with sand; as, a sandy desert, road, or soil."
Sanga,n.,Alt. of Sangu
Sangu,n.,"The Abyssinian ox (Bos / Bibos, Africanus), noted for the great length of its horns. It has a hump on its back."
Sanny,n.,The sandpiper.
Sapid,a.,"Having the power of affecting the organs of taste; possessing savor, or flavor."
Sapor,n.,Power of affecting the organs of taste; savor; flavor; taste.
Sappy,superl.,Abounding with sap; full of sap; juicy; succulent.
Saree,n.,The principal garment of a Hindoo woman
Sargo,n.,"Any one of several species of sparoid fishes belonging to Sargus, Pomadasys, and related genera; -- called also sar, and saragu."
Saros,n.,"A Chaldean astronomical period or cycle, the length of which has been variously estimated from 3,600 years to 3,600 days, or a little short of 10 years."
Sarpo,n.,"A large toadfish of the Southern United States and the Gulf of Mexico (Batrachus tau, var. pardus)."
Sarsa,n.,Sarsaparilla.
Sarse,n.,A fine sieve; a searce.
Sasin,n.,"The Indian antelope (Antilope bezoartica, / cervicapra), noted for its beauty and swiftness. It has long, spiral, divergent horns."
Sasse,n.,"A sluice or lock, as in a river, to make it more navigable."
Satan,n.,"The grand adversary of man; the Devil, or Prince of darkness; the chief of the fallen angels; the archfiend."
Sated,imp. & p. p.,of Sate
Satin,n.,"A silk cloth, of a thick, close texture, and overshot woof, which has a glossy surface."
Satle,v. t. & i.,To settle.
Satyr,n.,"A sylvan deity or demigod, represented as part man and part goat, and characterized by riotous merriment and lasciviousness."
Sauce,n.,"A composition of condiments and appetizing ingredients eaten with food as a relish; especially, a dressing for meat or fish or for puddings; as, mint sauce; sweet sauce, etc."
Saucy,superl.,"Showing impertinent boldness or pertness; transgressing the rules of decorum; treating superiors with contempt; impudent; insolent; as, a saucy fellow."
Saugh,,Alt. of Sauh
Sauks,n. pl.,Same as Sacs.
Sault,n.,"A rapid in some rivers; as, the Sault Ste. Marie."
Saury,n.,"A slender marine fish (Scomberesox saurus) of Europe and America. It has long, thin, beaklike jaws. Called also billfish, gowdnook, gawnook, skipper, skipjack, skopster, lizard fish, and Egypt herring."
Saute,n.,An assault.
Saved,imp. & p. p.,of Save
Saver,n.,One who saves.
Savin,n.,Alt. of Savine
Savor,a.,"That property of a thing which affects the organs of taste or smell; taste and odor; flavor; relish; scent; as, the savor of an orange or a rose; an ill savor."
Savoy,n.,"A variety of the common cabbage (Brassica oleracea major), having curled leaves, -- much cultivated for winter use."
Sawed,imp.,of Saw
Sawer,n.,One who saws; a sawyer.
Saxon,n.,"One of a nation or people who formerly dwelt in the northern part of Germany, and who, with other Teutonic tribes, invaded and conquered England in the fifth and sixth centuries."
Sayer,n.,One who says; an utterer.
Saynd,,"p. p. of Senge, to singe."
Scala,n.,A machine formerly employed for reducing dislocations of the humerus.
Scald,v. t.,"To burn with hot liquid or steam; to pain or injure by contact with, or immersion in, any hot fluid; as, to scald the hand."
Scale,n.,"The dish of a balance; hence, the balance itself; an instrument or machine for weighing;"
Scall,a.,"A scurf or scabby disease, especially of the scalp."
Scalp,n.,A bed of oysters or mussels.
Scaly,a.,"Covered or abounding with scales; as, a scaly fish."
Scamp,n.,A rascal; a swindler; a rogue.
Scant,superl.,"Not full, large, or plentiful; scarcely sufficient; less than is wanted for the purpose; scanty; meager; not enough; as, a scant allowance of provisions or water; a scant pattern of cloth for a garment."
Scape,n.,"A peduncle rising from the ground or from a subterranean stem, as in the stemless violets, the bloodroot, and the like."
Scard,n.,A shard or fragment.
Scare,v. t.,To frighten; to strike with sudden fear; to alarm.
Scarf,n.,A cormorant.
Scarn,n.,Dung.
Scarp,n.,"A band in the same position as the bend sinister, but only half as broad as the latter."
Scary,n.,Barren land having only a thin coat of grass.
Scatt,n.,Tribute.
Scate,n.,"See Skate, for the foot."
Scath,v.,Harm; damage; injury; hurt; waste; misfortune.
Scaup,n.,A bed or stratum of shellfish; scalp.
Scaur,n.,A precipitous bank or rock; a scar.
Scena,n.,A scene in an opera.
Scene,n.,"The structure on which a spectacle or play is exhibited; the part of a theater in which the acting is done, with its adjuncts and decorations; the stage."
Scent,v. t.,"To perceive by the olfactory organs; to smell; as, to scent game, as a hound does."
Scern,v. t.,To discern; to perceive.
Schah,n.,See Shah.
Scink,n.,A skink.
Scion,n.,A shoot or sprout of a plant; a sucker.
Sciot,a.,Of or pertaining to the island Scio (Chio or Chios).
Scise,v. i.,To cut; to penetrate.
Sclav,n.,Alt. of Sclave
Scoat,v. t.,To prop; to scotch.
Scobs,n. sing. & pl.,"Raspings of ivory, hartshorn, metals, or other hard substance."
Scoff,n.,"Derision; ridicule; mockery; derisive or mocking expression of scorn, contempt, or reproach."
Scoke,n.,Poke (Phytolacca decandra).
Scold,v. i.,To find fault or rail with rude clamor; 
Scole,n.,School.
Scomm,n.,A buffoon.
Scone,n.,"A cake, thinner than a bannock, made of wheat or barley or oat meal."
Scoop,n.,"A large ladle; a vessel with a long handle, used for dipping liquids; a utensil for bailing boats."
Scoot,v. i.,To walk fast; to go quickly; to run hastily away.
Scope,n.,"That at which one aims; the thing or end to which the mind directs its view; that which is purposed to be reached or accomplished; hence, ultimate design, aim, or purpose; intention; drift; object."
Score,n.,"A notch or incision; especially, one that is made as a tally mark; hence, a mark, or line, made for the purpose of account."
Scorn,n.,Extreme and lofty contempt; haughty disregard; that disdain which springs from the opinion of the utter meanness and unworthiness of an object.
Scoth,v. t.,To clothe or cover up.
Scots,a.,"Of or pertaining to the Scotch; Scotch; Scottish; as, Scots law; a pound Scots (1s. 8d.)."
Scour,v. t.,"To rub hard with something rough, as sand or Bristol brick, especially for the purpose of cleaning; to clean by friction; to make clean or bright; to cleanse from grease, dirt, etc., as articles of dress."
Scout,n.,A swift sailing boat.
Scowl,v. i.,"To wrinkle the brows, as in frowning or displeasure; to put on a frowning look; to look sour, sullen, severe, or angry."
Scrag,n.,"Something thin, lean, or rough; a bony piece; especially, a bony neckpiece of meat; hence, humorously or in contempt, the neck."
Scrap,v. t.,"Something scraped off; hence, a small piece; a bit; a fragment; a detached, incomplete portion."
Scrat,v. t.,To scratch.
Scraw,n.,A turf.
Scray,n.,A tern; the sea swallow.
Scree,n.,"A pebble; a stone; also, a heap of stones or rocky debris."
Screw,n.,"A cylinder, or a cylindrical perforation, having a continuous rib, called the thread"
Scrid,n.,A screed; a shred; a fragment.
Scrim,n.,"A kind of light cotton or linen fabric, often woven in openwork patterns, -- used for curtains, etc,; -- called also India scrim."
Scrip,n.,A small bag; a wallet; a satchel.
Scrit,n.,Writing; document; scroll.
Scrod,n.,Alt. of Scrode
Scrog,n.,"A stunted shrub, bush, or branch."
Scrow,n.,A scroll.
Scrub,v. t.,"To rub hard; to wash with rubbing; usually, to rub with a wet brush, or with something coarse or rough, for the purpose of cleaning or brightening; as, to scrub a floor, a doorplate."
Scudi,pl. ,of Scudo
Scudo,n.,"A silver coin, and money of account, used in Italy and Sicily, varying in value, in different parts, but worth about 4 shillings sterling, or about 96 cents; also, a gold coin worth about the same."
Scuff,n.,The back part of the neck; the scruff.
Sculk,,Alt. of Sculker
Scull,n.,The skull.
Sculp,v. t.,To sculpture; to carve; to engrave.
Scurf,n.,"Thin dry scales or scabs upon the body; especially, thin scales exfoliated from the cuticle, particularly of the scalp; dandruff."
Scuta,n. pl.,See Scutum.
Scute,n.,A small shield.
Scyle,v. t.,To hide; to secrete; to conceal.
Selch,n.,A seal.
Seamy,a.,"Having a seam; containing seams, or showing them."
Tabby,n.,"A kind of waved silk, usually called watered silk, manufactured like taffeta, but thicker and stronger. The watering is given to it by calendering."
Taber,v. i.,Same as Tabor.
Tabes,n.,"Progressive emaciation of the body, accompained with hectic fever, with no well-marked logical symptoms."
Tabid,a.,Affected by tabes; tabetic.
Table,n.,"A smooth, flat surface, like the side of a board; a thin, flat, smooth piece of anything; a slab."
Taboo,n.,"A total prohibition of intercourse with, use of, or approach to, a given person or thing under pain of death"
Tabor,n.,"A small drum used as an accompaniment to a pipe or fife, both being played by the same person."
Tacet,v.impers.,It is silent; -- a direction for a vocal or instrumental part to be silent during a whole movement.
Tache,n.,Something used for taking hold or holding; a catch; a loop; a button.
Tacit,a.,"Done or made in silence; implied, but not expressed; silent; as, tacit consent is consent by silence, or by not interposing an objection."
Tacky,a.,"Sticky; adhesive; raw; -- said of paint, varnish, etc., when not well dried."
Ta'en,,"p. p. of Ta, to take, or a contraction of Taken."
Taffy,n.,A kind of candy made of molasses or brown sugar boiled down and poured out in shallow pans.
Tafia,n.,A variety of rum.
Taint,n.,"A thrust with a lance, which fails of its intended effect."
Taira,n.,Same as Tayra.
Tairn,n.,See Tarn.
Taken,,p. p. of Take.
Taker,n.,One who takes or receives; one who catches or apprehends.
Taled,n.,A kind of quadrangular piece of cloth put on by the Jews when repeating prayers in the synagogues.
Udder,n.,The glandular organ in which milk is secreted and stored; -- popularly called the bag in cows and other quadrupeds. See Mamma.
Uhlan,n.,One of a certain description of militia among the Tartars.
Ukase,n.,"In Russia, a published proclamation or imperial order, having the force of law."
Ulcer,n.,"A solution of continuity in any of the soft parts of the body, discharging purulent matter, found on a surface"
Ulema,n.,"A college or corporation in Turkey composed of the hierarchy, namely, the imams, or ministers of religion, the muftis, or doctors of law, and the cadis, or administrators of justice."
Ullet,n.,A European owl (Syrnium aluco) of a tawny color; -- called also uluia.
Ulmic,a.,Pertaining to ulmin; designating an acid obtained from ulmin.
Ulmin,n.,A brown amorphous substance found in decaying vegetation.  Cf. Humin.
Ulmus,n.,A genus of trees including the elm.
Ulnar,a.,"Of or pertaining to the ulna, or the elbow; as, the ulnar nerve."
Ultra,a.,"Going beyond others, or beyond due limit; extreme; fanatical; uncompromising; as, an ultra reformer; ultra measures."
Ulula,n.,"A genus of owls including the great gray owl (Ulula cinerea) of Arctic America, and other similar species. See Illust. of Owl."
Umbel,n.,"A kind of flower cluster in which the flower stalks radiate from a common point, "
Umber,n.,A brown or reddish pigment used in both oil and water colors
Umbos,pl. ,of Umbo
Umbra,n.,The conical shadow projected from a planet or satellite
Umbre,n.,See Umber.
Unapt,a.,Inapt; slow; dull.
Unarm,v. t.,To disarm.
Unbag,v. t.,"To pour, or take, or let go, out of a bag or bags."
Unbar,v. t.,"To remove a bar or bars from; to unbolt; to open; as, to unbar a gate."
Unbay,v. t.,To free from the restraint of anything that surrounds or incloses; to let loose; to open.
Unbed,v. t.,To raise or rouse from bed.
Unbid,a.,Alt. of Unbidden
Unbit,v. t.,"To remove the turns of (a rope or cable) from the bits; as, to unbit a cable."
Unbow,v. t.,To unbend.
Unbox,v. t.,To remove from a box or boxes.
Unboy,v. t.,To divest of the traits of a boy.
Uncap,v. t.,To remove a cap or cover from.
Uncia,n.,"A twelfth part, as of the Roman as; an ounce."
Uncle,n.,"The brother of one's father or mother; also applied to an aunt's husband; -- the correlative of aunt in sex, and of nephew and niece in relationship."
Uncus,n.,A hook or claw.
Uncut,a.,Not cut; not separated or divided by cutting or otherwise
Undam,v. t.,"To free from a dam, mound, or other obstruction."
Under,prep.,"Below or lower, in place or position, with the idea of being covered; lower than; beneath;"
Undid,,imp. of Undo.
Undue,a.,"Not due; not yet owing; as, an undue debt, note, or bond."
Ubeth,adv.,Alt. of Unethes
Unfit,v. t.,"To make unsuitable or incompetent; to deprive of the strength, "
Unfix,v. t.,"To loosen from a fastening; to detach from anything that holds; to unsettle; as, to unfix a bayonet; to unfix the mind or affections."
Unget,v. t.,"To cause to be unbegotten or unborn, or as if unbegotten or unborn."
Ungka,n.,The siamang; -- called also ungka ape.
Ungod,v. t.,To deprive of divinity; to undeify.
Ungot,a.,Alt. of Ungotten
Unhap,n.,Ill luck; misfortune.
Unhat,v. t. & i.,"To take off the hat of; to remove one's hat, especially as a mark of respect."
Uniat,n.,Alt. of Uniate
Unify,v. t.,To cause to be one; to make into a unit; to unite; to view as one.
Union,n.,"The act of uniting or joining two or more things into one, or the state of being united or joined; junction; coalition; combination."
Unite,v. t.,"To put together so as to make one; to join, "
Unity,n.,The state of being one; oneness.
Unked,a.,Odd; strange; ugly; old; uncouth.
Unkle,n.,See Uncle.
Unlap,v. t.,To unfold.
Unlaw,v. t.,To deprive of the authority or character of law.
Unlay,v. t.,"To untwist; as, to unlay a rope."
Unman,v. t.,"To deprive of the distinctive qualities of a human being, as reason, or the like."
Unmew,v. t.,To release from confinement or restraint.
Unnun,v. t.,To remove from condition of being a nun.
Unoil,v. t.,To remove the oil from.
Unpay,v. t.,"To undo, take back, or annul, as a payment."
Unpeg,v. t.,To remove a peg or pegs from; to unfasten; to open.
Unpen,v. t.,To release from a pen or from confinement.
Unpin,v. t.,"To loose from pins; to remove the pins from; to unfasten; as, to unpin a frock; to unpin a frame."
Unrig,v. t.,"To strip of rigging; as, to unrig a ship."
Unrip,v. t.,To rip; to cut open.
Unsad,a.,Unsteady; fickle.
Unsay,v. t.,"To recant or recall, as what has been said; to refract; to take back again; to make as if not said."
Unset,a.,Not set; not fixed or appointed.
Unsew,v. t.,"To undo, as something sewn, or something inclosed by sewing; to rip apart; to take out the stitches of."
Unsex,v. t.,"To deprive of sex, or of qualities becoming to one's sex; "
Unsin,v. t.,"To deprive of sinfulness, as a sin; to make sinless."
Untie,v. t.,"To loosen, as something interlaced or knotted; to disengage the parts of; as, to untie a knot."
Until,prep.,To; unto; towards; -- used of material objects.
Unwit,v. t.,To deprive of wit.
Upbar,v. t.,To fasten with a bar.
Upend,v. t.,"To end up; to set on end, as a cask."
Uphaf,,imp. of Upheave.
Upher,n.,"A fir pole of from four to seven inches diameter, "
Uplay,v. t.,To hoard.
Upper,comp.,"Being further up, literally or figuratively;"
Uprun,v. i.,To run up; to ascend.
Upset,v. t.,To set up; to put upright.
Upsun,n.,"The time during which the sun is up, or above the horizon; the time between sunrise and sunset."
Uptie,v. t.,To tie up.
Upupa,n.,A genus of birds which includes the common hoopoe.
Upyat,,imp. of Upgive.
Urali,n.,See Curare.
Urare,n.,Alt. of Urari
Urari,n.,See Curare.
Urate,n.,"A salt of uric acid; as, sodium urate; ammonium urate."
Urban,a.,"Of or belonging to a city or town; as, an urban population."
Ureal,a.,"Of or pertaining to urea; containing, or consisting of, urea; as, ureal deposits."
Uredo,n.,One of the stages in the life history of certain rusts (Uredinales)
Urged,imp. & p. p.,of Urge
Urger,n.,One who urges.
Urine,n.,"In mammals, a fluid excretion from the kidneys; in birds and reptiles, a solid or semisolid excretion."
Urite,n.,One of the segments of the abdomen or post-abdomen of arthropods.
Urith,n.,The bindings of a hedge.
Urnal,a.,Of or pertaining to an urn; effected by an urn or urns.
Ursal,n.,The ursine seal. See the Note under 1st Seal.
Urson,n.,The Canada porcupine. See Porcupine.
Ursuk,n.,The bearded seal.
Ursus,n.,A genus of Carnivora including the common bears.
Urubu,n.,The black vulture (Catharista atrata). It ranges from the Southern United States to South America. See Vulture.
Usage,n.,"The act of using; mode of using or treating; treatment; conduct with respect to a person or a thing; as, good usage; ill usage; hard usage."
Usant,a.,Using; accustomed.
Using,p. pr. & vb. n.,of Use
Usher,n.,An officer or servant who has the care of the door of a court
Usnea,n.,"A genus of lichens, most of the species of which have long, gray, pendulous, and finely branched fronds. Usnea barbata is the common bearded lichen which grows on branches of trees in northern forests."
Usnic,a.,"Pertaining to, or designating, a complex acid obtained, as a yellow crystalline substance, from certain genera of lichens  (Usnea, Parmelia, etc.)."
Usual,n.,"Such as is in common use; such as occurs in ordinary practice, or in the ordinary course of events; customary; ordinary; habitual; common."
Usure,v. i.,To practice usury; to charge unlawful interest.
Usurp,v. t.,"To seize, and hold in possession, by force, or without right; as, to usurp a throne; to usurp the prerogatives of the crown; to usurp power; to usurp the right of a patron is to oust or dispossess him."
Usury,v. t.,"A premium or increase paid, or stipulated to be paid, for a loan, as of money; interest."
Utica,a.,"Of, pertaining to, or designating, a subdivision of the Trenton Period of the Lower Silurian, characterized in the State of New York by beds of shale."
Utile,v. t.,Profitable; useful.
Utter,a.,Outer.
Uvate,n.,A conserve made of grapes.
Uvrou,n.,See Euphroe.
Uvula,n.,The pendent fleshy lobe in the middle of the posterior border of the soft palate.
Uzema,n.,A Burman measure of twelve miles.</BODY></HTML>
Vacua,pl. ,of Vacuum
Vagal,a.,"Of or pertaining to the vagus, or pneumogastric nerves; pneumogastric."
Vague,v. i.,Wandering; vagrant; vagabond.
Vagus,a.,Wandering; -- applied especially to the pneumogastric nerve.
Vairy,n.,Charged with vair; variegated with shield-shaped figures. See Vair.
Valet,n.,A male waiting servant; a servant who attends on gentleman's person; a body servant.
Valid,a.,Strong; powerful; efficient.
Valla,pl. ,of Vallum
Valor,n.,Value; worth.
Value,n.,"The property or aggregate properties of a thing by which it is rendered useful or desirable, or the degree of such property or sum of properties; worth; excellence; utility; importance."
Valve,n.,"A door; especially, one of a pair of folding doors, or one of the leaves of such a door."
Vapid,a.,"Having lost its life and spirit; dead; spiritless; insipid; flat; dull; unanimated; as, vapid beer; a vapid speech; a vapid state of the blood."
Vapor,n.,"Any substance in the gaseous, or aeriform, state, the condition of which is ordinarily that of a liquid or solid."
Varan,n.,"The monitor. See Monitor, 3."
Varec,n.,"The calcined ashes of any coarse seaweed used for the manufacture of soda and iodine; also, the seaweed itself; fucus; wrack."
Varix,n.,"A uneven, permanent dilatation of a vein."
Vasty,a.,Vast; immense.
Vasum,n.,"A genus including several species of large marine gastropods having massive pyriform shells, with conspicuous folds on the columella."
Vault,n.,"An arched structure of masonry, forming a ceiling or canopy."
Vaunt,v. i.,"To boast; to make a vain display of one's own worth, attainments, decorations, or the like; to talk ostentatiously; to brag."
Vauty,a.,Vaulted.
Vedro,n.,"A Russian liquid measure, equal to 3.249 gallons of U. S. standard measure, or 2.706 imperial gallons."
Veery,n.,"An American thrush (Turdus fuscescens) common in the Northern United States and Canada. It is light tawny brown above. The breast is pale buff, thickly spotted with brown. Called also Wilson's thrush."
Veiny,a.,"Full of veins; veinous; veined; as, veiny marble."
Velar,a.,Of or pertaining to a velum; esp. (Anat.) of or pertaining to the soft palate.
Velum,n.,"Curtain or covering; -- applied to various membranous partitions, especially to the soft palate. See under Palate."
Venae,pl. ,of Vena
Venal,a.,"Of or pertaining to veins; venous; as, venal blood."
Vends,n. pl.,See Wends.
Venew,n.,"A bout, or turn, as at fencing; a thrust; a hit; a veney."
Veney,n.,A bout; a thrust; a venew.
Venge,v. t.,To avenge; to punish; to revenge.
Venom,n.,Matter fatal or injurious to life; poison; 
Venue,n.,"A neighborhood or near place; the place or county in which anything is alleged to have happened; also, the place where an action is laid."
Venus,n.,"The goddess of beauty and love, that is, beauty or love deified."
Verge,n.,"A rod or staff, carried as an emblem of authority; as, the verge, carried before a dean."
Verse,n.,"A line consisting of a certain number of metrical feet (see Foot, n., 9) disposed according to metrical rules."
Verso,n.,"The reverse, or left-hand, page of a book or a folded sheet of paper; -- opposed to recto."
Verst,n.,"A Russian measure of length containing 3,500 English feet."
Vertu,n.,Virtue; power.  See Virtue.
Verve,n.,"Excitement of imagination such as animates a poet, artist, or musician, in composing or performing; rapture; enthusiasm; spirit; energy."
Vespa,n.,A genus of Hymenoptera including the common wasps and hornets.
Vesta,n.,"One of the great divinities of the ancient Romans, identical with the Greek Hestia. She was a virgin, and the goddess of the hearth; hence, also, of the fire on it, and the family round it."
Vetch,n.,"Any leguminous plant of the genus Vicia, some species of which are valuable for fodder. The common species is V. sativa."
Vexed,imp. & p. p.,of Vex
Vexer,n.,One who vexes or troubles.
Vexil,n.,A vexillum.
Viage,n.,A voyage; a journey.
Viand,n.,An article of food; provisions; food; victuals; -- used chiefly in the plural.
Viary,a.,Of or pertaining to roads; happening on roads.
Vicar,n.,One deputed or authorized to perform the functions of another; a substitute in office; a deputy.
Viced,imp. & p. p.,of Vice
Wacke,n.,Alt. of Wacky
Wacky,n.,"A soft, earthy, dark-colored rock or clay derived from the alteration of basalt."
Waded,imp. & p. p.,of Wad
Wader,n.,"One who, or that which, wades."
Wafer,n.,A thin cake made of flour and other ingredients.
Waged,imp. & p. p.,of Wage
Wagel,n.,See Waggel.
Wager,v. t.,"Something deposited, laid, or hazarded on the event of a contest or an unsettled question; a bet; a stake; a pledge."
Wages,n.,"A compensation given to a hired person for services; price paid for labor; recompense; hire.  See Wage, n., 2."
Wagon,n.,"A wheeled carriage; a vehicle on four wheels, and usually drawn by horses; especially, one used for carrying freight or merchandise."
Waift,n.,A waif.
Waist,n.,That part of the human body which is immediately below the ribs or thorax; the small part of the body between the thorax and hips.
Waive,v. t.,A waif; a castaway.
Waked,imp. & p. p.,of Wake
Waken,v. i.,To wake; to cease to sleep; to be awakened.
Waker,n.,One who wakes.
Walty,a.,"Liable to roll over; crank; as, a walty ship."
Waltz,n.,"A dance performed by two persons in circular figures with a whirling motion; also, a piece of music composed in triple measure for this kind of dance."
Walwe,v.,To wallow.
Wandy,a.,"Long and flexible, like a wand."
Waned,imp. & p. p.,of Wane
Waney,n.,"A sharp or uneven edge on a board that is cut from a log not perfectly squared, or that is made in the process of squaring.  See Wany, a."
Wango,n.,A boomerang.
Wanly,adv.,"In a wan, or pale, manner."
Wanty,n.,"A surcingle, or strap of leather, used for binding a load upon the back of a beast; also, a leather tie; a short wagon rope."
Wanze,v. i.,To wane; to wither.
Waped,a.,Cast down; crushed by misery; dejected.
Wares,n. pl.,See 4th Ware.
Warly,a.,Warlike.
Warre,a.,Worse.
Warry,v. t.,See Warye.
Warty,a.,"Having warts; full of warts; overgrow with warts; as, a warty leaf."
Warye,v. t.,"To curse; to curse; to execrate; to condemn; also, to vex."
Washy,a.,Watery; damp; soft.
Waste,a.,"Desolate; devastated; stripped; bare; hence, dreary; dismal; gloomy; cheerless."
Watch,v. i.,"The act of watching; forbearance of sleep; vigil; wakeful, vigilant, or constantly observant attention; close observation; guard; preservative or preventive vigilance; formerly, a watching or guarding by night."
Water,n.,"The fluid which descends from the clouds in rain, and which forms rivers, lakes, seas, etc."
Xebec,n.,"A small three-masted vessel, with projecting bow stern and convex decks, used in the Mediterranean for transporting merchandise, etc. It carries large square sails, or both. Xebecs were formerly armed and used by corsairs."
Xenia,pl. ,of Xenium
Xenyl,n.,The radical characteristic of xenylic compounds.
Xeres,n.,Sherry.  See Sherry.
Xerif,n.,A shereef.
Xylem,n.,"That portion of a fibrovascular bundle which has developed, or will develop, into wood cells; -- distinguished from phloem."
Xylic,a.,"Pertaining to, derived from, or related to, xylene; specifically, designating any one of several metameric acids produced by the partial oxidation of mesitylene and pseudo-cumene."
Xylo-,,"A combining form from Gr. xy`lon wood; as in xylogen, xylograph."
